Date,C5TC,P5TC,S10TC,HS7TC
12/07/2017,7186,10139,8478,8992
13/07/2017,7701,10488,8640,9040
14/07/2017,7718,10734,8773,9083
17/07/2017,7780,10971,8849,9131
18/07/2017,8171,11163,8957,9170
19/07/2017,8411,11364,9089,9219
20/07/2017,8774,11429,9187,9254
21/07/2017,9170,11416,9243,9286
24/07/2017,9273,11335,9266,9304
25/07/2017,9547,11145,9250,9297
26/07/2017,9439,10885,9161,9305
27/07/2017,9001,10510,9058,9295
28/07/2017,9098,10216,8940,9265
31/07/2017,9775,10101,8870,9233
01/08/2017,10540,10129,8818,9185
02/08/2017,11568,10294,8741,9114
03/08/2017,12602,10492,8684,9036
04/08/2017,12963,10573,8655,8972
07/08/2017,13139,10609,8630,8926
08/08/2017,13176,10703,8592,8880
09/08/2017,13538,10884,8562,8814
10/08/2017,14818,11168,8557,8794
11/08/2017,16261,11392,8595,8787
14/08/2017,16771,11524,8609,8771
15/08/2017,17070,11666,8672,8759
16/08/2017,18187,11830,8805,8759
17/08/2017,19259,12039,8977,8768
18/08/2017,19498,12116,9145,8766
21/08/2017,19515,12148,9264,8792
22/08/2017,18834,12114,9349,8822
23/08/2017,17974,11846,9450,8849
24/08/2017,17477,11435,9520,8887
25/08/2017,17918,11244,9580,8901
29/08/2017,17778,11087,9611,8948
30/08/2017,17026,10926,9639,9023
31/08/2017,17083,10874,9667,9090
01/09/2017,16948,10946,9698,9081
04/09/2017,16819,11186,9732,9105
05/09/2017,17367,11566,9771,9171
06/09/2017,18231,11882,9815,9225
07/09/2017,19449,12176,9891,9323
08/09/2017,20343,12373,10045,9399
11/09/2017,20831,12528,10155,9472
12/09/2017,19942,12813,10279,9543
13/09/2017,19129,13090,10450,9653
14/09/2017,19285,13383,10750,9780
15/09/2017,19614,13560,11042,9887
18/09/2017,19578,13622,11258,10097
19/09/2017,19797,13679,11464,10257
20/09/2017,20694,13646,11625,10462
21/09/2017,21325,13506,11781,10610
22/09/2017,22392,13342,11900,10750
25/09/2017,22450,13187,11960,10839
26/09/2017,21639,12961,11931,10905
27/09/2017,20270,12634,11814,10992
28/09/2017,19393,12198,11665,11039
29/09/2017,18725,11845,11430,11027
02/10/2017,18245,11530,11246,10997
03/10/2017,17929,11358,11001,10962
04/10/2017,18397,11589,10807,10911
05/10/2017,20156,12147,10768,10893
06/10/2017,20427,12636,10831,10938
09/10/2017,20257,12891,10910,10986
10/10/2017,20002,13106,11124,11068
11/10/2017,19911,13422,11387,11147
12/10/2017,19893,13837,11723,11317
13/10/2017,20047,14241,11949,11509
16/10/2017,20971,14486,12088,11607
17/10/2017,21689,14601,12215,11711
18/10/2017,22052,14566,12351,11746
19/10/2017,22420,14585,12457,11848
20/10/2017,22145,14559,12550,11920
23/10/2017,22389,14553,12557,11978
24/10/2017,22515,14427,12564,12032
25/10/2017,22228,14152,12541,12070
26/10/2017,22024,13837,12418,12051
27/10/2017,22198,13542,12230,12036
30/10/2017,22122,13395,12026,11999
31/10/2017,22060,13339,11785,11914
01/11/2017,21317,13425,11611,11813
02/11/2017,20768,13704,11440,11742
03/11/2017,20563,13881,11306,11673
06/11/2017,20604,13919,11169,11622
07/11/2017,20997,13844,11050,11575
08/11/2017,21980,13499,10790,11520
09/11/2017,22536,13121,10534,11420
10/11/2017,22613,12712,10290,11358
13/11/2017,22457,12466,10044,11330
14/11/2017,21512,12133,9872,11305
15/11/2017,20770,11922,9723,11262
16/11/2017,20626,11744,9635,11217
17/11/2017,21178,11638,9614,11163
20/11/2017,21672,11600,9677,11128
21/11/2017,22091,11559,9756,11091
22/11/2017,22468,11613,9976,11073
23/11/2017,23381,11631,10246,11048
24/11/2017,23596,11720,10412,11026
27/11/2017,24193,11755,10507,11013
28/11/2017,25004,11916,10576,11028
29/11/2017,25596,12298,10667,11055
30/11/2017,26545,12820,10733,11086
01/12/2017,27725,13306,10760,11120
04/12/2017,28546,13818,10763,11132
05/12/2017,28571,13915,10771,11148
06/12/2017,28725,13849,10801,11169
07/12/2017,29063,13855,10791,11172
08/12/2017,29693,14046,10799,11190
11/12/2017,30333,14328,10770,11199
12/12/2017,30475,14714,10805,11212
13/12/2017,29637,15076,10824,11208
14/12/2017,27345,15044,10838,11226
15/12/2017,25859,14757,10817,11242
18/12/2017,24977,14486,10818,11248
19/12/2017,23942,14087,10766,11233
20/12/2017,21797,13718,10720,11182
21/12/2017,21110,12919,10610,11110
22/12/2017,19341,12519,10478,11070
02/01/2018,15125,12084,10312,10890
03/01/2018,16529,12019,10232,10813
04/01/2018,19300,12280,10113,10769
05/01/2018,20179,12559,10108,10714
08/01/2018,20574,12753,10141,10634
09/01/2018,20890,12787,10176,10603
10/01/2018,19935,12596,10308,10554
11/01/2018,17854,12330,10373,10528
12/01/2018,17118,12149,10420,10521
15/01/2018,16664,12083,10430,10487
16/01/2018,15158,11994,10456,10468
17/01/2018,13175,11901,10467,10441
18/01/2018,12312,11853,10466,10425
19/01/2018,11571,12029,10477,10470
22/01/2018,11458,12256,10493,10483
23/01/2018,12148,12598,10461,10510
24/01/2018,13421,13005,10402,10489
25/01/2018,13936,13207,10335,10445
26/01/2018,14057,13294,10273,10391
29/01/2018,14065,13235,10203,10335
30/01/2018,13666,12958,10119,10243
31/01/2018,12727,12645,10054,10108
01/02/2018,11791,12382,9978,10013
02/02/2018,11367,12232,9921,9947
05/02/2018,11189,12074,9845,9890
06/02/2018,11984,11891,9754,9814
07/02/2018,12471,11707,9609,9735
08/02/2018,13208,11470,9485,9701
09/02/2018,14136,11366,9398,9659
12/02/2018,14318,11261,9341,9574
13/02/2018,14075,11192,9333,9548
14/02/2018,13313,11221,9412,9517
15/02/2018,12828,11379,9536,9500
16/02/2018,12396,11552,9597,9496
19/02/2018,12262,11718,9643,9539
20/02/2018,12941,12034,9734,9568
21/02/2018,13401,12468,9840,9612
22/02/2018,13512,12865,10008,9722
23/02/2018,13524,13209,10229,9781
26/02/2018,13228,13392,10506,9845
27/02/2018,12627,13471,10807,9950
28/02/2018,12347,13474,11067,10128
01/03/2018,12395,13410,11265,10183
02/03/2018,12609,13374,11381,10328
05/03/2018,12651,13391,11403,10414
06/03/2018,12516,13603,11460,10523
07/03/2018,11797,13799,11524,10582
08/03/2018,11669,14099,11589,10677
09/03/2018,11554,14296,11663,10766
12/03/2018,11206,14370,11748,10847
13/03/2018,10810,14361,11854,10919
14/03/2018,10461,14363,12008,11003
15/03/2018,9869,14331,12178,11080
16/03/2018,9600,14329,12318,11121
19/03/2018,9330,14349,12401,11146
20/03/2018,8956,14304,12498,11174
21/03/2018,8825,14238,12567,11266
22/03/2018,8880,14133,12599,11318
23/03/2018,9064,14089,12567,11352
26/03/2018,9304,13992,12487,11410
27/03/2018,9305,13807,12362,11444
28/03/2018,8694,13550,12197,11492
29/03/2018,8339,13347,12023,11528
03/04/2018,7747,13024,11865,11480
04/04/2018,7211,12559,11740,11451
05/04/2018,7051,12125,11588,11356
06/04/2018,7156,11910,11469,11312
09/04/2018,7352,11895,11375,11212
10/04/2018,7950,11931,11282,11152
11/04/2018,8065,11976,11238,11093
12/04/2018,8362,12058,11233,10988
13/04/2018,8811,12185,11218,10921
16/04/2018,9001,12250,11247,10886
17/04/2018,9688,12198,11274,10858
18/04/2018,11620,12006,11310,10844
19/04/2018,13665,11821,11312,10795
20/04/2018,15766,11683,11339,10761
23/04/2018,16437,11622,11346,10714
24/04/2018,17084,11530,11375,10656
25/04/2018,18192,11487,11450,10626
26/04/2018,18106,11556,11483,10548
27/04/2018,17713,11586,11507,10446
30/04/2018,17176,11597,11532,10399
01/05/2018,16890,11559,11504,10317
02/05/2018,17349,11559,11495,10224
03/05/2018,18126,11521,11519,10145
04/05/2018,18308,11512,11543,10118
08/05/2018,19568,11452,11534,10070
09/05/2018,20469,11425,11465,10062
10/05/2018,20190,11370,11484,10057
11/05/2018,20684,11370,11462,10067
14/05/2018,20801,11330,11467,10078
15/05/2018,20646,11307,11442,10099
16/05/2018,19001,11313,11450,10118
17/05/2018,16511,11329,11478,10154
18/05/2018,15712,11345,11489,10170
21/05/2018,14833,11354,11493,10211
22/05/2018,13867,11323,11500,10177
23/05/2018,13052,11190,11477,10165
24/05/2018,11848,11028,11461,10118
25/05/2018,11177,10908,11431,10069
29/05/2018,10839,10711,11396,10054
30/05/2018,10583,10598,11365,10067
31/05/2018,11723,10684,11353,10060
01/06/2018,13180,10940,11342,10057
04/06/2018,13963,11139,11345,10087
05/06/2018,15124,11397,11410,10103
06/06/2018,17140,11717,11434,10121
07/06/2018,18134,12142,11521,10132
08/06/2018,17566,12721,11559,10147
11/06/2018,17240,12984,11610,10173
12/06/2018,17095,13168,11697,10226
13/06/2018,17334,13284,11754,10271
14/06/2018,17976,13366,11783,10320
15/06/2018,18244,13343,11822,10365
18/06/2018,18233,13247,11840,10404
19/06/2018,17796,13050,11859,10431
20/06/2018,16862,12745,11864,10408
21/06/2018,16459,12448,11858,10400
22/06/2018,16492,12232,11829,10393
25/06/2018,16430,12108,11757,10379
26/06/2018,16342,11959,11680,10339
27/06/2018,16070,11978,11552,10266
28/06/2018,16648,12032,11418,10208
29/06/2018,18110,12074,11288,10146
02/07/2018,19091,12088,11204,10052
03/07/2018,20515,12068,11123,9985
04/07/2018,22847,12050,11045,9940
05/07/2018,24045,12092,10931,9876
06/07/2018,24273,12157,10892,9843
09/07/2018,23823,12307,10887,9817
10/07/2018,22122,12808,10875,9776
11/07/2018,22488,13336,10871,9751
12/07/2018,23514,13490,10907,9755
13/07/2018,24287,13569,10923,9822
16/07/2018,24987,13580,10951,9845
17/07/2018,25580,13590,11007,9881
18/07/2018,24710,13582,11061,9910
19/07/2018,23827,13643,11155,9918
20/07/2018,24446,13793,11232,9921
23/07/2018,25076,13865,11299,9921
24/07/2018,26367,13985,11327,9914
25/07/2018,26254,14036,11365,9878
26/07/2018,24673,13992,11386,9835
27/07/2018,23824,14031,11404,9823
30/07/2018,24496,14024,11405,9765
31/07/2018,25698,13891,11407,9723
01/08/2018,26204,13643,11411,9659
02/08/2018,26423,13264,11378,9575
03/08/2018,27124,12910,11362,9509
06/08/2018,27283,12698,11359,9474
07/08/2018,26439,12430,11384,9434
08/08/2018,25842,12266,11416,9436
09/08/2018,25667,12138,11445,9466
10/08/2018,25621,12060,11494,9447
13/08/2018,26059,12059,11504,9464
14/08/2018,26299,12251,11535,9461
15/08/2018,26069,12583,11570,9461
16/08/2018,25592,12930,11619,9457
17/08/2018,25373,13234,11704,9481
20/08/2018,25303,13400,11779,9453
21/08/2018,25326,13593,11849,9454
22/08/2018,25054,13836,11939,9492
23/08/2018,24042,14206,12025,9499
24/08/2018,23555,14391,12102,9556
28/08/2018,23037,14492,12261,9611
29/08/2018,22404,14461,12376,9661
30/08/2018,21354,14212,12442,9716
31/08/2018,20671,13918,12475,9769
03/09/2018,20293,13673,12491,9821
04/09/2018,19344,13484,12509,9857
05/09/2018,18493,13385,12514,9910
06/09/2018,18600,13487,12512,9935
07/09/2018,18676,13585,12514,9992
10/09/2018,18369,13714,12531,10033
11/09/2018,17237,13810,12524,10075
12/09/2018,16559,13765,12526,10137
13/09/2018,15938,13646,12515,10217
14/09/2018,15574,13555,12543,10310
17/09/2018,15329,13520,12597,10428
18/09/2018,15157,13585,12741,10491
19/09/2018,15492,13622,12833,10621
20/09/2018,15827,13835,12942,10786
21/09/2018,16000,14068,13022,10897
24/09/2018,16308,14252,13136,10999
25/09/2018,16484,14486,13208,11026
26/09/2018,17535,14791,13269,11085
27/09/2018,17969,14888,13282,11108
28/09/2018,18350,14931,13273,11117
01/10/2018,18749,14913,13274,11131
02/10/2018,19217,14797,13235,11134
03/10/2018,19319,14806,13244,11156
04/10/2018,18639,15021,13270,11200
05/10/2018,18026,15185,13327,11260
08/10/2018,17692,15365,13367,11298
09/10/2018,17012,15348,13397,11365
10/10/2018,16744,15366,13410,11431
11/10/2018,17205,15469,13431,11515
12/10/2018,18746,15563,13395,11616
15/10/2018,18894,15595,13364,11676
16/10/2018,18683,15700,13319,11729
17/10/2018,18099,15721,13274,11725
18/10/2018,18491,15663,13183,11745
19/10/2018,18932,15553,13064,11763
22/10/2018,19180,15404,12991,11786
23/10/2018,19436,15076,12924,11806
24/10/2018,19025,14708,12798,11837
25/10/2018,18662,14329,12671,11860
26/10/2018,19078,14018,12508,11862
29/10/2018,19415,13805,12368,11869
30/10/2018,19501,13598,12156,11860
31/10/2018,19091,13548,11999,11821
01/11/2018,18693,13565,11857,11791
02/11/2018,18412,13599,11743,11766
05/11/2018,17768,13612,11633,11727
06/11/2018,17033,13581,11542,11703
07/11/2018,14959,13443,11424,11670
08/11/2018,13287,13321,11346,11642
09/11/2018,11250,13311,11254,11632
12/11/2018,10760,13308,11183,11618
13/11/2018,9270,13324,11121,11599
14/11/2018,7987,13214,11094,11580
15/11/2018,8458,13067,10997,11549
16/11/2018,8804,12958,11006,11517
19/11/2018,8722,12833,10987,11493
20/11/2018,8341,12664,10995,11464
21/11/2018,8625,12470,10981,11424
22/11/2018,8951,12354,10964,11359
23/11/2018,10853,12332,10950,11344
26/11/2018,13918,12437,10906,11308
27/11/2018,16836,12656,10872,11258
28/11/2018,16446,12878,10872,11192
29/11/2018,15108,12972,10908,11145
30/11/2018,13816,13030,10915,11126
03/12/2018,13067,13082,10932,11125
04/12/2018,13837,13125,10985,11127
05/12/2018,15341,13107,10987,11129
06/12/2018,16391,13113,10996,11131
07/12/2018,17219,13084,11018,11135
10/12/2018,17554,13043,11043,11138
11/12/2018,17077,12962,11071,11113
12/12/2018,16808,12890,11134,11107
13/12/2018,16977,13008,11200,11073
14/12/2018,17704,13164,11273,10986
17/12/2018,17714,13260,11311,10921
18/12/2018,17416,13292,11306,10827
19/12/2018,17010,13280,11316,10736
20/12/2018,15624,13129,11300,10643
21/12/2018,14878,12846,11279,10559
24/12/2018,14797,12722,11252,10547
02/01/2019,15344,12480,11141,10330
03/01/2019,15194,12274,11025,10155
04/01/2019,15341,12013,10874,10028
07/01/2019,15329,11768,10705,9871
08/01/2019,16106,11425,10518,9759
09/01/2019,15940,11122,10229,9629
10/01/2019,15197,10740,9955,9462
11/01/2019,15180,10481,9596,9273
14/01/2019,15008,10324,9251,9086
15/01/2019,14069,10217,8908,8903
16/01/2019,13465,10016,8549,8648
17/01/2019,14440,9746,8226,8391
18/01/2019,15746,9526,7880,8165
21/01/2019,15606,9310,7631,8039
22/01/2019,14608,8980,7396,7881
23/01/2019,13823,8523,7122,7696
24/01/2019,13373,8007,6784,7454
25/01/2019,13288,7356,6436,7271
28/01/2019,12523,6861,6176,7088
29/01/2019,11595,6514,5912,6895
30/01/2019,10099,6252,5636,6610
31/01/2019,9198,5945,5379,6382
01/02/2019,8877,5836,5164,6140
04/02/2019,8748,5771,5049,5962
05/02/2019,8722,5778,4911,5889
06/02/2019,8757,5775,4837,5876
07/02/2019,8230,5842,4840,5781
08/02/2019,7911,5954,4870,5783
11/02/2019,7561,6050,5038,5810
12/02/2019,7326,6164,5345,5869
13/02/2019,7284,6255,5634,5975
14/02/2019,7342,6324,6161,6197
15/02/2019,7308,6365,6529,6295
18/02/2019,7135,6397,6862,6461
19/02/2019,6646,6483,7159,6654
20/02/2019,6095,6565,7393,6793
21/02/2019,5988,6632,7736,6929
22/02/2019,5873,6706,7933,7019
25/02/2019,5747,6854,8068,7117
26/02/2019,5807,7082,8135,7231
27/02/2019,5576,7391,8215,7331
28/02/2019,5290,7884,8329,7444
01/03/2019,5065,8289,8434,7531
04/03/2019,4897,8585,8514,7551
05/03/2019,4535,8772,8605,7727
06/03/2019,4409,8886,8696,7813
07/03/2019,4263,8790,8767,7907
08/03/2019,4236,8531,8777,7945
11/03/2019,4325,8307,8768,7984
12/03/2019,4526,8091,8762,8068
13/03/2019,4813,7963,8750,8120
14/03/2019,5321,8107,8714,8218
15/03/2019,6387,8444,8709,8267
18/03/2019,6041,8619,8705,8317
19/03/2019,5684,8755,8727,8395
20/03/2019,5306,9066,8829,8505
21/03/2019,4511,9441,9038,8591
22/03/2019,4180,9577,9199,8710
25/03/2019,4035,9649,9258,8811
26/03/2019,3763,9776,9298,8890
27/03/2019,3931,9797,9284,8935
28/03/2019,3872,10036,9198,8939
29/03/2019,3796,10149,9094,8901
01/04/2019,3695,10209,9035,8877
02/04/2019,3460,10288,8900,8801
03/04/2019,3540,10345,8682,8679
04/04/2019,4369,10322,8474,8514
05/04/2019,4881,10238,8304,8394
08/04/2019,5099,10134,8196,8273
09/04/2019,5520,10009,8117,8196
10/04/2019,5886,9924,8035,8099
11/04/2019,5775,9893,8004,8015
12/04/2019,5737,9913,7967,7964
15/04/2019,5905,10065,7997,7908
16/04/2019,5991,10284,8044,7871
17/04/2019,6209,10508,8122,7835
18/04/2019,6624,10631,8199,7819
23/04/2019,7196,10698,8403,7853
24/04/2019,7713,10752,8620,7879
25/04/2019,8092,10786,8712,7874
26/04/2019,8596,10821,8703,7855
29/04/2019,9203,10849,8664,7836
30/04/2019,11718,10839,8575,7803
01/05/2019,12270,10835,8507,7801
02/05/2019,12346,10852,8431,7800
03/05/2019,11182,10860,8390,7772
07/05/2019,9898,10850,8479,7689
08/05/2019,9944,10845,8569,7674
09/05/2019,10708,10884,8630,7649
10/05/2019,11621,10928,8673,7642
13/05/2019,11856,11030,8712,7623
14/05/2019,12134,11173,8737,7593
15/05/2019,11758,11289,8754,7589
16/05/2019,11705,11359,8757,7609
17/05/2019,11909,11378,8738,7639
20/05/2019,11949,11386,8727,7679
21/05/2019,12131,11402,8731,7688
22/05/2019,12301,11486,8757,7735
23/05/2019,12403,11644,8768,7764
24/05/2019,12243,11782,8764,7783
28/05/2019,12583,11929,8693,7821
29/05/2019,13163,12048,8624,7847
30/05/2019,12965,12076,8556,7871
31/05/2019,12987,12041,8511,7922
03/06/2019,13258,11954,8468,7975
04/06/2019,13916,11794,8378,8002
05/06/2019,14561,11639,8300,8035
06/06/2019,14769,11333,8242,8092
07/06/2019,15007,11072,8173,8140
10/06/2019,14868,10869,8156,8156
11/06/2019,14489,10709,8128,8180
12/06/2019,13989,10572,8106,8236
13/06/2019,13621,10471,8094,8285
14/06/2019,14203,10421,8152,8299
17/06/2019,14400,10371,8202,8321
18/06/2019,15424,10310,8303,8437
19/06/2019,16493,10253,8392,8539
20/06/2019,16869,10173,8483,8628
21/06/2019,17947,10131,8570,8682
24/06/2019,18287,10250,8626,8696
25/06/2019,18539,10557,8739,8704
26/06/2019,19117,10886,8852,8732
27/06/2019,19296,11296,8962,8762
28/06/2019,19360,11637,9014,8745
01/07/2019,19824,11883,9067,8732
02/07/2019,21076,12307,9116,8734
03/07/2019,23214,12801,9216,8777
04/07/2019,26085,13875,9344,8815
05/07/2019,26444,14631,9435,8901
08/07/2019,25822,14870,9530,8970
09/07/2019,26367,15222,9602,9014
10/07/2019,26403,15636,9717,9087
11/07/2019,26705,16354,9897,9141
12/07/2019,27389,16872,10112,9202
15/07/2019,28579,17255,10231,9195
16/07/2019,30157,17732,10434,9273
17/07/2019,31073,17997,10704,9344
18/07/2019,32219,18389,10979,9454
19/07/2019,32765,18684,11282,9538
22/07/2019,32963,18933,11491,9619
23/07/2019,32078,19078,11650,9700
24/07/2019,28352,18994,11665,9766
25/07/2019,26928,18767,11577,9826
26/07/2019,27145,18205,11492,9858
29/07/2019,27217,17735,11384,9880
30/07/2019,27187,17088,11287,9872
31/07/2019,26935,16465,11207,9870
01/08/2019,26078,15883,11111,9854
02/08/2019,25762,15570,11045,9849
05/08/2019,25621,15361,10951,9854
06/08/2019,24647,15404,10910,9837
07/08/2019,23935,15656,10892,9832
08/08/2019,23793,16037,10938,9837
09/08/2019,24032,16505,11074,9904
12/08/2019,24400,16776,11136,9918
13/08/2019,26096,17319,11329,9970
14/08/2019,27456,18044,11677,10075
15/08/2019,29132,18534,12220,10216
16/08/2019,29627,18695,12753,10360
19/08/2019,28877,18738,12998,10455
20/08/2019,28558,18635,13213,10633
21/08/2019,28434,18645,13498,10859
22/08/2019,29496,18792,13840,11248
23/08/2019,30440,18919,14113,11455
27/08/2019,31116,19096,14507,11724
28/08/2019,32199,19233,14768,11907
29/08/2019,32200,19348,14960,12141
30/08/2019,34582,19434,15056,12266
02/09/2019,36122,19452,15158,12371
03/09/2019,37539,19449,15214,12528
04/09/2019,38012,19362,15233,12668
05/09/2019,37645,19234,15199,12862
06/09/2019,36916,19091,15099,12909
09/09/2019,36111,18892,15010,13052
10/09/2019,35650,18651,14883,13101
11/09/2019,35161,18507,14794,13102
12/09/2019,34411,18387,14726,13090
13/09/2019,33962,18413,14675,13092
16/09/2019,34004,18413,14625,13094
17/09/2019,33393,18313,14623,13105
18/09/2019,33131,18053,14618,13118
19/09/2019,31454,17760,14669,13153
20/09/2019,30172,17445,14715,13172
23/09/2019,29813,17167,14692,13156
24/09/2019,30277,16853,14644,13116
25/09/2019,29031,16541,14504,13113
26/09/2019,27183,16117,14387,13045
27/09/2019,24927,15780,14248,13019
30/09/2019,24401,15476,14104,12962
01/10/2019,24314,15309,13884,12861
02/10/2019,24425,15155,13710,12747
03/10/2019,23409,15132,13539,12650
04/10/2019,23680,15204,13465,12562
07/10/2019,23674,15343,13420,12500
08/10/2019,24122,15789,13426,12416
09/10/2019,25608,16176,13467,12370
10/10/2019,26646,16556,13536,12325
11/10/2019,26383,16691,13602,12263
14/10/2019,26065,16791,13643,12226
15/10/2019,25664,16712,13673,12217
16/10/2019,25838,16468,13652,12176
17/10/2019,25123,16259,13624,12126
18/10/2019,25117,16087,13595,12089
21/10/2019,25031,15922,13574,12062
22/10/2019,24203,15724,13531,12007
23/10/2019,23740,15530,13446,11858
24/10/2019,24112,15348,13333,11774
25/10/2019,24945,14932,13178,11645
28/10/2019,25362,14542,13079,11550
29/10/2019,25725,14243,12853,11403
30/10/2019,25684,13970,12506,11194
31/10/2019,24918,13716,12111,10974
01/11/2019,24637,13478,11590,10786
04/11/2019,24586,13194,11190,10605
05/11/2019,24612,12865,10854,10446
06/11/2019,22217,12461,10357,10250
07/11/2019,20330,12100,9726,10021
08/11/2019,19716,11700,9278,9841
11/11/2019,19390,11343,8979,9665
12/11/2019,20033,11032,8738,9499
13/11/2019,20669,10730,8551,9370
14/11/2019,20961,10462,8408,9261
15/11/2019,20970,10308,8294,9177
18/11/2019,20630,10260,8168,9098
19/11/2019,19814,10298,8096,9018
20/11/2019,18606,10387,8138,8956
21/11/2019,18350,10402,8300,8937
22/11/2019,18930,10404,8497,8922
25/11/2019,20515,10324,8707,8913
26/11/2019,22272,10259,8899,8940
27/11/2019,22465,10338,9038,8964
28/11/2019,22775,10696,9172,9029
29/11/2019,23865,11158,9277,9067
02/12/2019,24493,11604,9329,9064
03/12/2019,25202,11868,9392,9086
04/12/2019,24916,11963,9437,9120
05/12/2019,24229,12040,9478,9116
06/12/2019,23704,12130,9526,9122
09/12/2019,23445,12230,9551,9138
10/12/2019,22652,12514,9562,9148
11/12/2019,20645,12895,9572,9114
12/12/2019,18774,13022,9552,9136
13/12/2019,18002,13085,9430,9106
16/12/2019,17060,13067,9346,9111
17/12/2019,16566,12719,9220,9075
18/12/2019,15695,12066,9031,9036
19/12/2019,14575,11465,8805,8953
20/12/2019,14451,10948,8564,8914
23/12/2019,14366,10564,8398,8857
24/12/2019,14337,10259,8295,8787
02/01/2020,11976,9031,7539,8376
03/01/2020,10825,8537,7277,8139
06/01/2020,9783,8013,7065,7975
07/01/2020,9022,7609,6723,7805
08/01/2020,9020,7223,6519,7675
09/01/2020,9199,7063,6392,7530
10/01/2020,9438,6939,6267,7352
13/01/2020,9322,6834,6221,7198
14/01/2020,9255,6899,6190,7110
15/01/2020,9011,7422,6154,6987
16/01/2020,8801,7727,6151,6900
17/01/2020,8352,7830,6156,6825
20/01/2020,7760,7791,6156,6802
21/01/2020,7062,7418,6116,6753
22/01/2020,5911,6844,6053,6705
23/01/2020,5071,6425,6002,6592
24/01/2020,4772,6216,5976,6486
27/01/2020,4632,6054,5959,6388
28/01/2020,4631,5861,5920,6295
29/01/2020,4487,5648,5858,6187
30/01/2020,4081,5351,5804,6094
31/01/2020,3973,5163,5764,5979
03/02/2020,3666,4910,5734,5872
04/02/2020,3496,4738,5699,5761
05/02/2020,3015,4681,5634,5629
06/02/2020,3021,4773,5570,5558
07/02/2020,2660,4871,5400,5468
10/02/2020,2588,4913,5327,5427
11/02/2020,2760,5010,5248,5322
12/02/2020,2713,5234,5189,5282
13/02/2020,2532,5506,5152,5253
14/02/2020,2445,5724,5171,5234
17/02/2020,2491,5917,5217,5221
18/02/2020,2638,6207,5288,5244
19/02/2020,2713,6496,5376,5302
20/02/2020,2735,6796,5556,5361
21/02/2020,2787,7087,5767,5474
24/02/2020,2693,7302,5977,5546
25/02/2020,2475,7467,6173,5663
26/02/2020,2358,7733,6348,5736
27/02/2020,2367,7972,6490,5794
28/02/2020,2274,8147,6667,5831
02/03/2020,2172,8232,6827,5881
03/03/2020,2197,8419,6961,5931
04/03/2020,2230,8651,7111,6039
05/03/2020,2515,9231,7377,6188
06/03/2020,2542,9610,7564,6292
09/03/2020,2385,9607,7748,6384
10/03/2020,2552,9573,7938,6526
11/03/2020,2570,9511,8088,6737
12/03/2020,2692,9314,8190,6948
13/03/2020,2797,9061,8255,7103
16/03/2020,2795,8732,8293,7210
17/03/2020,2800,8367,8299,7307
18/03/2020,3507,7975,8304,7464
19/03/2020,3843,7652,8231,7569
20/03/2020,4067,7259,8146,7617
23/03/2020,4152,6968,8047,7705
24/03/2020,4102,6714,7921,7736
25/03/2020,3903,6484,7724,7615
26/03/2020,3818,6437,7426,7466
27/03/2020,3675,6563,7054,7224
30/03/2020,3765,6589,6664,7011
31/03/2020,5853,6813,6248,6756
01/04/2020,5899,7050,5890,6557
02/04/2020,6013,7131,5640,6299
03/04/2020,5949,7170,5442,6117
06/04/2020,5697,7205,5333,6035
07/04/2020,5616,7198,5195,5833
08/04/2020,6003,7244,4997,5670
09/04/2020,6762,7315,4852,5509
14/04/2020,7915,7361,4724,5366
15/04/2020,8666,7380,4612,5212
16/04/2020,9223,7392,4522,5063
17/04/2020,9875,7429,4449,4958
20/04/2020,10081,7402,4381,4847
21/04/2020,9556,7234,4292,4742
22/04/2020,8925,7005,4225,4648
23/04/2020,8531,6832,4208,4556
24/04/2020,8381,6719,4269,4450
27/04/2020,8292,6667,4313,4403
28/04/2020,8172,6578,4362,4335
29/04/2020,7872,6482,4442,4307
30/04/2020,7702,6402,4509,4279
01/05/2020,7263,6337,4543,4305
04/05/2020,6792,6315,4576,4212
05/05/2020,6257,6228,4582,4192
06/05/2020,5301,6104,4620,4154
07/05/2020,4858,5999,4657,4110
11/05/2020,3842,5923,4738,4133
12/05/2020,2893,5806,4775,4108
13/05/2020,2082,5656,4841,4116
14/05/2020,1992,5524,4908,4135
15/05/2020,2394,5424,4953,4147
18/05/2020,2875,5392,5012,4199
19/05/2020,3462,5390,5085,4263
20/05/2020,3951,5465,5179,4297
21/05/2020,4196,5606,5257,4372
22/05/2020,4140,5718,5350,4487
26/05/2020,4120,5908,5450,4631
27/05/2020,3786,6198,5502,4722
28/05/2020,3228,6483,5520,4809
29/05/2020,3369,6789,5505,4875
01/06/2020,3648,6991,5465,4934
02/06/2020,4213,7151,5448,5022
03/06/2020,5267,7285,5435,5124
04/06/2020,6177,7336,5485,5218
05/06/2020,7307,7324,5578,5297
08/06/2020,7745,7281,5660,5385
09/06/2020,8055,7192,5856,5474
10/06/2020,9142,7168,6116,5555
11/06/2020,10676,7391,6328,5670
12/06/2020,12410,7665,6563,5777
15/06/2020,13297,7959,6734,5927
16/06/2020,14786,8545,6865,6051
17/06/2020,19036,9170,6977,6187
18/06/2020,25280,10055,7130,6375
19/06/2020,25511,10603,7230,6533
