Date,P5TC,P1A,P2A,P3A,P4,P5,P6,P7,P8
2018-04-13,12582.0,11650.0,19088.0,11637.0,5719.0,11200.0,14266.0,,
2018-04-16,12663.0,11756.0,19180.0,11672.0,5758.0,11189.0,14375.0,,
2018-04-17,12584.0,11711.0,19145.0,11481.0,5742.0,11000.0,14325.0,,
2018-04-18,12355.0,11467.0,19025.0,11067.0,5693.0,10839.0,14164.0,,
2018-04-19,12146.0,11206.0,18790.0,10827.0,5663.0,10672.0,13975.0,,
2018-04-20,11963.0,10961.0,18629.0,10622.0,5629.0,10544.0,13805.0,,
2018-04-23,11895.0,10844.0,18573.0,10579.0,5636.0,10489.0,13729.0,,
2018-04-24,11807.0,10767.0,18292.0,10568.0,5633.0,10472.0,13604.0,,
2018-04-25,11761.0,10639.0,18130.0,10711.0,5633.0,10589.0,13490.0,,
2018-04-26,11788.0,10589.0,17975.0,11139.0,5638.0,10744.0,13315.0,,
2018-04-27,11798.0,10489.0,17830.0,11412.0,5688.0,10911.0,13235.0,,
2018-04-30,11805.0,10456.0,17834.0,11533.0,5693.0,10986.0,13185.0,,
2018-05-01,11754.0,10336.0,17764.0,11538.0,5700.0,,13129.0,,
2018-05-02,11725.0,10256.0,17670.0,11647.0,5699.0,11033.0,13040.0,,
2018-05-03,11739.0,10172.0,17630.0,11820.0,5718.0,11144.0,13020.0,,
2018-05-04,11696.0,9983.0,17514.0,11968.0,5726.0,11253.0,12947.0,,
2018-05-07,,,,,,11317.0,,,
2018-05-08,11599.0,9800.0,17295.0,12102.0,5733.0,11439.0,12735.0,,
2018-05-09,11544.0,9622.0,17109.0,12304.0,5794.0,11578.0,12574.0,,
2018-05-10,11500.0,9359.0,17024.0,12503.0,5826.0,11661.0,12499.0,,
2018-05-11,11506.0,9306.0,17009.0,12606.0,5837.0,11733.0,12478.0,,
2018-05-14,11450.0,9167.0,16932.0,12627.0,5839.0,11750.0,12415.0,,
2018-05-15,11417.0,9089.0,16854.0,12699.0,5842.0,11789.0,12335.0,,
2018-05-16,11381.0,8981.0,16803.0,12773.0,5875.0,11856.0,12250.0,,
2018-05-17,11354.0,8975.0,16797.0,12854.0,5846.0,12017.0,12108.0,,
2018-05-18,11366.0,9031.0,16823.0,12910.0,5817.0,12078.0,12057.0,,
2018-05-21,11345.0,9034.0,16825.0,12917.0,5809.0,12117.0,11981.0,,
2018-05-22,11311.0,8994.0,16763.0,12925.0,5780.0,12225.0,11922.0,,
2018-05-23,11191.0,8750.0,16624.0,12765.0,5776.0,12367.0,11907.0,,
2018-05-24,11028.0,8511.0,16534.0,12422.0,5778.0,12361.0,11880.0,,
2018-05-25,10885.0,8367.0,16452.0,12122.0,5774.0,12263.0,11800.0,,
2018-05-28,,,,,,12033.0,,,
2018-05-29,10703.0,8211.0,16302.0,11730.0,5707.0,,11722.0,,
2018-05-30,10614.0,8239.0,16195.0,11459.0,5653.0,11494.0,11683.0,,
2018-05-31,10719.0,8400.0,16390.0,11390.0,5676.0,10961.0,11883.0,,
2018-06-01,11004.0,8967.0,16809.0,11472.0,5742.0,10844.0,12129.0,,
2018-06-04,11239.0,9311.0,17199.0,11571.0,5784.0,10883.0,12400.0,,
2018-06-05,11530.0,9762.0,17575.0,11650.0,5791.0,10967.0,12800.0,,
2018-06-06,11893.0,10200.0,18075.0,11893.0,5869.0,11156.0,13250.0,,
2018-06-07,12310.0,11078.0,18608.0,12000.0,5983.0,11328.0,13605.0,,
2018-06-08,12890.0,12694.0,19270.0,12169.0,6009.0,11494.0,13820.0,,
2018-06-11,13095.0,12972.0,19720.0,12315.0,6038.0,11644.0,13990.0,,
2018-06-12,13256.0,13256.0,19902.0,12512.0,6058.0,11850.0,14060.0,,
2018-06-13,13386.0,13350.0,20061.0,12814.0,6100.0,12361.0,14095.0,,
2018-06-14,13458.0,13194.0,20455.0,12966.0,6141.0,12844.0,14193.0,,
2018-06-15,13415.0,12867.0,20580.0,13025.0,6162.0,,14225.0,,
2018-06-18,13302.0,12556.0,20475.0,13023.0,6158.0,13109.0,14145.0,,
2018-06-19,13082.0,12106.0,20275.0,12869.0,6118.0,13214.0,13995.0,,
2018-06-20,12754.0,11600.0,19928.0,12492.0,6092.0,12867.0,13763.0,,
2018-06-21,12427.0,11089.0,19635.0,12156.0,6064.0,12480.0,13485.0,,
2018-06-22,12206.0,10794.0,19345.0,11915.0,6047.0,12256.0,13300.0,,
2018-06-25,12082.0,10611.0,19157.0,11746.0,6034.0,12143.0,13247.0,,
2018-06-26,11925.0,10494.0,18887.0,11526.0,5979.0,11931.0,13112.0,,
2018-06-27,11946.0,10622.0,19002.0,11382.0,5970.0,11583.0,13160.0,,
2018-06-28,12015.0,10767.0,19094.0,11354.0,5993.0,11372.0,13255.0,,
2018-06-29,12056.0,10872.0,19179.0,11344.0,5999.0,11233.0,13280.0,,
2018-07-02,12039.0,10900.0,19145.0,11305.0,5996.0,11211.0,13245.0,,
2018-07-03,12004.0,10950.0,19130.0,11198.0,5990.0,11092.0,13183.0,,
2018-07-04,11999.0,11072.0,19172.0,11109.0,5983.0,10950.0,13127.0,,
2018-07-05,12032.0,11239.0,19314.0,10992.0,5982.0,10800.0,13150.0,,
2018-07-06,12084.0,11400.0,19495.0,10908.0,5982.0,10628.0,13198.0,,
2018-07-09,12188.0,11717.0,19827.0,10865.0,5963.0,10489.0,13210.0,,
2018-07-10,12647.0,13167.0,20462.0,10922.0,5976.0,10450.0,13270.0,,
2018-07-11,13080.0,14189.0,21610.0,10972.0,5978.0,10528.0,13435.0,,
2018-07-12,13247.0,14406.0,21907.0,11211.0,5971.0,10672.0,13515.0,,
2018-07-13,13318.0,14556.0,22074.0,11228.0,5981.0,10756.0,13555.0,,
2018-07-16,13324.0,14594.0,22034.0,11229.0,5985.0,10806.0,13553.0,,
2018-07-17,13305.0,14733.0,22072.0,11115.0,5982.0,10792.0,13457.0,,
2018-07-18,13270.0,14883.0,22032.0,10985.0,5979.0,10694.0,13340.0,,
2018-07-19,13347.0,15200.0,22119.0,10953.0,6002.0,10628.0,13322.0,,
2018-07-20,13502.0,15644.0,22324.0,11011.0,6000.0,10550.0,13353.0,,
2018-07-23,13597.0,15906.0,22427.0,11036.0,6002.0,10622.0,13395.0,,
2018-07-24,13683.0,16206.0,22659.0,11013.0,6011.0,10550.0,13370.0,,
2018-07-25,13714.0,16344.0,22615.0,10975.0,6018.0,10458.0,13403.0,,
2018-07-26,13681.0,16417.0,22564.0,10819.0,6006.0,10428.0,13382.0,,
2018-07-27,13718.0,16517.0,22708.0,10722.0,6003.0,10289.0,13457.0,,
2018-07-30,13704.0,16528.0,22718.0,10666.0,6003.0,10194.0,13443.0,,
2018-07-31,13557.0,16283.0,22653.0,10514.0,5960.0,10128.0,13320.0,,
2018-08-01,13308.0,15733.0,22335.0,10352.0,5931.0,10106.0,13200.0,,
2018-08-02,12956.0,15006.0,21870.0,10163.0,5721.0,10061.0,13015.0,,
2018-08-03,12642.0,14372.0,21448.0,9957.0,5588.0,9933.0,12855.0,,
2018-08-06,12433.0,13944.0,21178.0,9790.0,5523.0,9922.0,12765.0,,
2018-08-07,12190.0,13433.0,20745.0,9690.0,5486.0,9850.0,12620.0,,
2018-08-08,12015.0,13000.0,20535.0,9632.0,5416.0,9744.0,12541.0,,
2018-08-09,11897.0,12706.0,20355.0,9617.0,5359.0,,12483.0,,
2018-08-10,11841.0,12583.0,20283.0,9591.0,5333.0,9594.0,12453.0,,
2018-08-13,11841.0,12539.0,20253.0,9645.0,5336.0,9561.0,12453.0,,
